Requirement ID,Requirement Description,Source (BRD/FRS/SRS),Design Reference,Development Reference,Test Case ID,Status,Remarks
BR-001,Capture client personal and financial data,BRD,"Wireframe Pg 2, BPMN To-Be Step 1",Onboarding Service / Client DB,TC-UC001-01,Open,Initial draft
BR-002,Perform KYC and AML compliance checks,BRD,"DFD L0, Wireframe Pg 5",Compliance Service / External API,TC-UC008-01,Open,Pending vendor API SLA
BR-003,Enable risk profiling and suitability assessment,BRD,"Wireframe Pg 6, Activity UC-011",Risk Profiling Service,TC-UC011-01,Open,Scoring logic validation
BR-004,Support digital consent and e-signatures,BRD,Wireframe Pg 7,Consent & e-Sign Module / eSign API,TC-UC013-01,Open,Integration with DocuSign/AdobeSign
BR-005,Automate account creation post approval,BRD,"Wireframe Pg 8, DFD L1 Process 6",Account Service / Core Banking API,TC-UC015-01,Open,Pending core banking test env
FR-001,Allow client to register/login,FRD,Wireframe Pg 1,Onboarding Service Auth Module,TC-UC000-Login,Open,Basic auth + MFA
FR-005,Upload documents with OCR & duplicate check,FRD,"Wireframe Pg 3, Activity UC-005",Document Service / OCR API,TC-UC005-01,Open,OCR engine integration
FR-006,OCR extraction with >80% confidence validation,FRD,Activity UC-006,Document Service / OCR Engine,TC-UC006-01,Open,Manual fallback required
FR-007,Check uploaded docs for duplicates,FRD,Activity UC-007,Document Service / Duplicate Check,TC-UC007-01,Open,Duplicate detection rules
FR-008,Perform AML/KYC screening,FRD,Activity UC-008,Compliance Service / External API,TC-UC008-02,Open,Vendor SLA pending
FR-011,Conduct risk questionnaire and generate score,FRD,"Wireframe Pg 6, Activity UC-011",Risk Profiling Service,TC-UC011-02,Open,Business rules review
FR-013,Capture client digital consent,FRD,"Wireframe Pg 7, Activity UC-013",Consent Module,TC-UC013-01,Open,GDPR compliance
FR-014,Enable client to sign documents digitally,FRD,"Wireframe Pg 7, Activity UC-014",e-Sign API Integration,TC-UC014-01,Open,AdobeSign integration
FR-015,Automate account opening in core banking,FRD,"Wireframe Pg 8, Activity UC-015",Account Service / Core Banking API,TC-UC015-01,Open,Account payload format
FR-017,Sync client data to CRM,FRD,DFD L1 Process 7,Onboarding Service / CRM API,TC-UC017-01,Open,Salesforce API testing
FR-018,Provide Ops dashboard for exceptions,FRD,Ops Dashboard Mockup,Ops Portal Module,TC-UC018-01,Open,Exception handling rules
SRS-001,System must handle 500 concurrent onboardings,SRS,NFR Section 4,Kubernetes Cluster / Load Balancer,TC-Perf-01,Open,Performance test pending
SRS-002,System must encrypt all PII with AES-256,SRS,Security Section 4,Encryption Module / DB,TC-Sec-01,Open,Key rotation policy
SRS-003,System must log all actions with timestamps,SRS,AuditLog Entity ERD,Audit Logging Service,TC-Audit-01,Open,Retention policy check
SRS-004,APIs must respond within 3s avg,SRS,API Spec Section 5,API Gateway / Microservices,TC-Perf-02,Open,Load test required
SRS-005,"Support browsers: Chrome, Edge, Safari (latest 2 versions)",SRS,Constraints Section 6,Frontend React App,TC-UI-01,Open,Cross-browser testing
NFR-001,System shall respond to user login requests within 2 seconds (avg).,NFR,Section Performance in NFR Matrix,System Module / Config,TC-Perf-01,Open,
NFR-002,Document upload endpoint shall accept and acknowledge files within 3 seconds.,NFR,Section Performance in NFR Matrix,System Module / Config,TC-Perf-02,Open,
NFR-003,KYC screening request shall return within 5 seconds under normal conditions.,NFR,Section Performance in NFR Matrix,System Module / Config,TC-UC008-02,Open,
NFR-004,"Support at least 500 concurrent onboardings and 1,000 TPS across services.",NFR,Section Scalability in NFR Matrix,System Module / Config,TC-Perf-01,Open,
NFR-005,Overall platform availability shall be ? 99.95%.,NFR,Section Availability in NFR Matrix,System Module / Config,TC-Avail-01,Open,
NFR-006,All PII at rest shall be encrypted with AES?256; keys rotated quarterly.,NFR,Section Security in NFR Matrix,System Module / Config,TC-Sec-01,Open,
NFR-007,All data in transit shall use TLS 1.3 with strong ciphers.,NFR,Section Security in NFR Matrix,System Module / Config,TC-Sec-02,Open,
NFR-008,Enforce MFA for RM/Admin roles; session timeout after 15 minutes idle.,NFR,Section Security in NFR Matrix,System Module / Config,TC-UC013-02,Open,
NFR-009,Rate limiting shall prevent abuse on public APIs.,NFR,Section Security in NFR Matrix,System Module / Config,TC-UC008-01,Open,
NFR-010,"System shall comply with GDPR (consent, DSAR, right to erasure).",NFR,Section Compliance in NFR Matrix,System Module / Config,TC-UC013-01,Open,
NFR-011,FATCA/CRS data capture and reporting accuracy ? 99.5%.,NFR,Section Compliance in NFR Matrix,System Module / Config,TC-UC013-02,Open,
NFR-012,"All actions shall be logged with user, timestamp, IP, entity and outcome.",NFR,Section Auditability in NFR Matrix,System Module / Config,TC-Avail-01,Open,
NFR-013,RPO ? 15 minutes and RTO ? 1 hour for critical services.,NFR,Section Reliability in NFR Matrix,System Module / Config,TC-Avail-01,Open,
NFR-014,"Emit standardized metrics, logs and traces for all services.",NFR,Section Observability in NFR Matrix,System Module / Config,TC-UC018-01,Open,
NFR-015,WCAG 2.1 AA accessibility compliance for client-facing UI.,NFR,Section Usability in NFR Matrix,System Module / Config,TC-UC018-02,Open,
NFR-016,Support English at launch; framework ready for multilingual with i18n keys.,NFR,Section Localization in NFR Matrix,System Module / Config,TC-UC001-03,Open,
NFR-017,Microservices must have test coverage ? 80% lines/branches.,NFR,Section Maintainability in NFR Matrix,System Module / Config,TC-UC001-03,Open,
NFR-018,Mean time to detect (MTTD) ? 5 min; mean time to recover (MTTR) ? 30 min.,NFR,Section Supportability in NFR Matrix,System Module / Config,TC-UC017-01,Open,
NFR-019,"UI pages (SPA) shall have LCP ? 2.5s on 4G, 95th percentile.",NFR,Section Performance in NFR Matrix,System Module / Config,TC-Audit-01,Open,
NFR-020,"KYC documents retained per policy (e.g., 7 years) with legal hold support.",NFR,Section Data Retention in NFR Matrix,System Module / Config,TC-Perf-01,Open,
NFR-021,APIs follow OpenAPI 3.0; consistent error model and versioning.,NFR,Section Interoperability in NFR Matrix,System Module / Config,,Open,
NFR-022,Document store sized for 5 TB Y1 with 30% headroom.,NFR,Section Capacity in NFR Matrix,System Module / Config,,Open,
NFR-023,Mask PII in non?prod and logs; use synthetic/anonymized data.,NFR,Section Privacy in NFR Matrix,System Module / Config,,Open,
NFR-024,User?facing errors must be friendly with correlation IDs.,NFR,Section Error Handling in NFR Matrix,System Module / Config,,Open,
NFR-025,Asynchronous jobs retry with backoff; DLQ on final failure.,NFR,Section Queueing/Retry in NFR Matrix,System Module / Config,,Open,
NFR-026,System uses UTC; time?zone rendering per user locale in UI.,NFR,Section Time/Clock in NFR Matrix,System Module / Config,,Open,
NFR-027,Secrets managed in vault; no secrets in code or CI logs.,NFR,Section Security in NFR Matrix,System Module / Config,,Open,
NFR-028,Graceful degradation when external vendors fail.,NFR,Section Availability in NFR Matrix,System Module / Config,,Open,
